"","ano","mes","date","total"
"1",2014,"Apr",2014-04-15,177
"2",2014,"Aug",2014-08-15,95
"3",2014,"Dec",2014-12-15,113
"4",2014,"Feb",2014-02-15,119
"5",2014,"Jan",2014-01-15,114
"6",2014,"Jul",2014-07-15,80
"7",2014,"Jun",2014-06-15,97
"8",2014,"Mar",2014-03-15,131
"9",2014,"May",2014-05-15,107
"10",2014,"Nov",2014-11-15,100
"11",2014,"Oct",2014-10-15,91
"12",2014,"Sep",2014-09-15,97
"13",2015,"Apr",2015-04-15,98
"14",2015,"Aug",2015-08-15,103
"15",2015,"Dec",2015-12-15,118
"16",2015,"Feb",2015-02-15,95
"17",2015,"Jan",2015-01-15,115
"18",2015,"Jul",2015-07-15,118
"19",2015,"Jun",2015-06-15,86
"20",2015,"Mar",2015-03-15,125
"21",2015,"May",2015-05-15,117
"22",2015,"Nov",2015-11-15,109
"23",2015,"Oct",2015-10-15,109
"24",2015,"Sep",2015-09-15,97
"25",2016,"Apr",2016-04-15,97
"26",2016,"Aug",2016-08-15,90
"27",2016,"Dec",2016-12-15,111
"28",2016,"Feb",2016-02-15,114
"29",2016,"Jan",2016-01-15,125
"30",2016,"Jul",2016-07-15,99
"31",2016,"Jun",2016-06-15,92
"32",2016,"Mar",2016-03-15,116
"33",2016,"May",2016-05-15,117
"34",2016,"Nov",2016-11-15,103
"35",2016,"Oct",2016-10-15,118
"36",2016,"Sep",2016-09-15,107
"37",2017,"Apr",2017-04-15,102
"38",2017,"Aug",2017-08-15,115
"39",2017,"Dec",2017-12-15,125
"40",2017,"Feb",2017-02-15,102
"41",2017,"Jan",2017-01-15,131
"42",2017,"Jul",2017-07-15,112
"43",2017,"Jun",2017-06-15,96
"44",2017,"Mar",2017-03-15,121
"45",2017,"May",2017-05-15,111
"46",2017,"Nov",2017-11-15,112
"47",2017,"Oct",2017-10-15,108
"48",2017,"Sep",2017-09-15,111
"49",2018,"Apr",2018-04-15,108
"50",2018,"Aug",2018-08-15,78
"51",2018,"Dec",2018-12-15,98
"52",2018,"Feb",2018-02-15,86
"53",2018,"Jan",2018-01-15,106
"54",2018,"Jul",2018-07-15,85
"55",2018,"Jun",2018-06-15,105
"56",2018,"Mar",2018-03-15,89
"57",2018,"May",2018-05-15,99
"58",2018,"Nov",2018-11-15,80
"59",2018,"Oct",2018-10-15,91
"60",2018,"Sep",2018-09-15,97
"61",2019,"Apr",2019-04-15,92
"62",2019,"Aug",2019-08-15,76
"63",2019,"Dec",2019-12-15,92
"64",2019,"Feb",2019-02-15,71
"65",2019,"Jan",2019-01-15,85
"66",2019,"Jul",2019-07-15,74
"67",2019,"Jun",2019-06-15,68
"68",2019,"Mar",2019-03-15,81
"69",2019,"May",2019-05-15,86
"70",2019,"Nov",2019-11-15,71
"71",2019,"Oct",2019-10-15,115
"72",2019,"Sep",2019-09-15,76
